trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN16840F3062208:2024-04-20T00:29:49Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-04-20
OCESN16840F3062208:2024-04-20T00:29:49Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-04-20
OCESN16840F3108110:2024-04-20T00:29:49Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-04-20
OCESN16840F3108111:2024-04-20T00:29:49Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-20
OCESN17353F3008124:2024-04-20T00:29:49Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	17:44:00	17:44:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	17:50:00	17:51:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	17:58:00	18:00:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	18:11:00	18:13:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	18:30:00	18:34:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	18:46:00	18:48:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	19:09:00	19:11:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-20
OCESN17365F2977786:2024-04-20T00:29:49Z	19:28:00	19:29:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-20
OCESN17369F2931691:2024-04-20T00:29:49Z	19:52:00	19:52:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-20
