trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN105350F2606330:2024-03-06T00:27:13Z	06:00:00	06:00:00	StopPoint:OCENavette-87571240	0		0	1		2024-03-06
OCESN105350F2606330:2024-03-06T00:27:13Z	06:05:00	06:05:00	StopPoint:OCENavette-87571000	1		1	0		2024-03-06
OCESN106350F2179359:2024-03-06T00:27:13Z	05:43:00	05:43:00	StopPoint:OCENavette-87571000	0		0	1		2024-03-06
OCESN106350F2179359:2024-03-06T00:27:13Z	05:48:00	05:48:00	StopPoint:OCENavette-87571240	1		1	0		2024-03-06
OCESN14036F2988138:2024-03-06T00:27:13Z	07:03:00	07:03:00	StopPoint:OCETrain TER-87543009	0		0	1		2024-03-06
OCESN14036F2988138:2024-03-06T00:27:13Z	07:07:00	07:10:00	StopPoint:OCETrain TER-87543017	1		0	0		2024-03-06
OCESN14036F2988138:2024-03-06T00:27:13Z	08:16:00	08:16:00	StopPoint:OCETrain TER-87547000	2		1	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	05:56:00	05:56:00	StopPoint:OCETrain TER-87571000	0		0	1		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	06:02:00	06:04:00	StopPoint:OCETrain TER-87571240	1		0	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	06:15:00	06:16:00	StopPoint:OCETrain TER-87574343	2		0	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	06:25:00	06:26:00	StopPoint:OCETrain TER-87574319	3		0	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	06:35:00	06:37:00	StopPoint:OCETrain TER-87574004	4		0	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	07:16:00	07:19:00	StopPoint:OCETrain TER-87543017	5		0	0		2024-03-06
OCESN14038F2923581:2024-03-06T00:27:13Z	08:23:00	08:23:00	StopPoint:OCETrain TER-87547000	6		1	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	05:29:00	05:29:00	StopPoint:OCETrain TER-87393488	0		0	1		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	05:38:00	05:39:00	StopPoint:OCETrain TER-87393553	1		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	05:51:00	05:52:00	StopPoint:OCETrain TER-87393595	2		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	06:04:00	06:05:00	StopPoint:OCETrain TER-87444638	3		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	06:25:00	06:26:00	StopPoint:OCETrain TER-87444562	4		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	06:34:00	06:35:00	StopPoint:OCETrain TER-87444539	5		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	06:51:00	06:52:00	StopPoint:OCETrain TER-87448084	6		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	07:01:00	07:02:00	StopPoint:OCETrain TER-87448001	7		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	07:18:00	07:19:00	StopPoint:OCETrain TER-87448159	8		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	07:34:00	07:35:00	StopPoint:OCETrain TER-87447698	9		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	07:44:00	07:45:00	StopPoint:OCETrain TER-87447649	10		0	0		2024-03-06
OCESN16521F2891729:2024-03-06T00:27:13Z	07:55:00	07:55:00	StopPoint:OCETrain TER-87447680	11		1	0		2024-03-06
OCESN16544F2910932:2024-03-06T00:27:13Z	06:39:00	06:39:00	StopPoint:OCETrain TER-87444539	0		0	1		2024-03-06
OCESN16544F2910932:2024-03-06T00:27:13Z	06:47:00	06:48:00	StopPoint:OCETrain TER-87444562	1		0	0		2024-03-06
OCESN16544F2910932:2024-03-06T00:27:13Z	07:02:00	07:03:00	StopPoint:OCETrain TER-87444604	2		0	0		2024-03-06
