trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN14037F3091681:2024-03-08T00:25:49Z	09:21:00	09:21:00	StopPoint:OCETrain TER-87547000	0		0	1		2024-03-08
OCESN14037F3091681:2024-03-08T00:25:49Z	10:22:00	10:25:00	StopPoint:OCETrain TER-87543017	1		0	0		2024-03-08
OCESN14037F3091681:2024-03-08T00:25:49Z	10:29:00	10:29:00	StopPoint:OCETrain TER-87543009	2		1	0		2024-03-08
OCESN14047F2479445:2024-03-08T00:25:49Z	12:37:00	12:37:00	StopPoint:OCETrain TER-87547000	0		0	1		2024-03-08
OCESN14047F2479445:2024-03-08T00:25:49Z	14:04:00	14:07:00	StopPoint:OCETrain TER-87543017	1		0	0		2024-03-08
OCESN14047F2479445:2024-03-08T00:25:49Z	14:12:00	14:12:00	StopPoint:OCETrain TER-87543009	2		1	0		2024-03-08
OCESN14049F2910531:2024-03-08T00:25:49Z	13:21:00	13:21:00	StopPoint:OCETrain TER-87547000	0		0	1		2024-03-08
OCESN14049F2910531:2024-03-08T00:25:49Z	14:20:00	14:22:00	StopPoint:OCETrain TER-87543017	1		0	0		2024-03-08
OCESN14049F2910531:2024-03-08T00:25:49Z	14:27:00	14:27:00	StopPoint:OCETrain TER-87543009	2		1	0		2024-03-08
OCESN16450F2910487:2024-03-08T00:25:49Z	06:34:00	06:34:00	StopPoint:OCETrain TER-87296442	0		0	1		2024-03-08
OCESN16450F2910487:2024-03-08T00:25:49Z	06:57:00	06:59:00	StopPoint:OCETrain TER-87276691	1		0	0		2024-03-08
OCESN16450F2910487:2024-03-08T00:25:49Z	07:43:00	07:43:00	StopPoint:OCETrain TER-87271007	2		1	0		2024-03-08
OCESN16451F3093802:2024-03-08T00:25:49Z	07:17:00	07:17:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16451F3093802:2024-03-08T00:25:49Z	07:58:00	08:00:00	StopPoint:OCETrain TER-87276691	1		0	0		2024-03-08
OCESN16451F3093802:2024-03-08T00:25:49Z	08:22:00	08:22:00	StopPoint:OCETrain TER-87296442	2		1	0		2024-03-08
OCESN16452F2910384:2024-03-08T00:25:49Z	07:35:00	07:35:00	StopPoint:OCETrain TER-87296442	0		0	1		2024-03-08
OCESN16452F2910384:2024-03-08T00:25:49Z	07:58:00	08:00:00	StopPoint:OCETrain TER-87276691	1		0	0		2024-03-08
OCESN16452F2910384:2024-03-08T00:25:49Z	08:42:00	08:42:00	StopPoint:OCETrain TER-87271007	2		1	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	10:32:00	10:32:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	10:59:00	11:05:00	StopPoint:OCETrain TER-87276006	1		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	11:12:00	11:14:00	StopPoint:OCETrain TER-87276329	2		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	11:26:00	11:28:00	StopPoint:OCETrain TER-87276691	3		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	11:40:00	11:41:00	StopPoint:OCETrain TER-87276782	4		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	11:51:00	11:52:00	StopPoint:OCETrain TER-87296616	5		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	11:58:00	12:00:00	StopPoint:OCETrain TER-87296442	6		0	0		2024-03-08
OCESN16453F2665587:2024-03-08T00:25:49Z	12:13:00	12:13:00	StopPoint:OCETrain TER-87296004	7		1	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	10:32:00	10:32:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	10:59:00	11:05:00	StopPoint:OCETrain TER-87276006	1		0	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	11:12:00	11:14:00	StopPoint:OCETrain TER-87276329	2		0	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	11:26:00	11:28:00	StopPoint:OCETrain TER-87276691	3		0	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	11:40:00	11:41:00	StopPoint:OCETrain TER-87276782	4		0	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	11:51:00	11:52:00	StopPoint:OCETrain TER-87296616	5		0	0		2024-03-08
OCESN16453F2910019:2024-03-08T00:25:49Z	11:59:00	11:59:00	StopPoint:OCETrain TER-87296442	6		1	0		2024-03-08
OCESN16453F2976668:2024-03-08T00:25:49Z	10:32:00	10:32:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16453F2976668:2024-03-08T00:25:49Z	10:59:00	11:05:00	StopPoint:OCETrain TER-87276006	1		0	0		2024-03-08
OCESN16453F2976668:2024-03-08T00:25:49Z	11:12:00	11:14:00	StopPoint:OCETrain TER-87276329	2		0	0		2024-03-08
OCESN16453F2976668:2024-03-08T00:25:49Z	11:27:00	11:27:00	StopPoint:OCETrain TER-87276691	3		1	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	10:32:00	10:32:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	10:59:00	11:05:00	StopPoint:OCETrain TER-87276006	1		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	11:12:00	11:14:00	StopPoint:OCETrain TER-87276329	2		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	11:26:00	11:28:00	StopPoint:OCETrain TER-87276691	3		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	11:40:00	11:41:00	StopPoint:OCETrain TER-87276782	4		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	11:51:00	11:52:00	StopPoint:OCETrain TER-87296616	5		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	11:58:00	12:00:00	StopPoint:OCETrain TER-87296442	6		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	12:12:00	12:14:00	StopPoint:OCETrain TER-87296004	7		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	12:44:00	12:46:00	StopPoint:OCETrain TER-87295600	8		0	0		2024-03-08
OCESN16453F3062534:2024-03-08T00:25:49Z	12:56:00	12:56:00	StopPoint:OCETrain TER-87295006	9		1	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	10:32:00	10:32:00	StopPoint:OCETrain TER-87271007	0		0	1		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	10:59:00	11:05:00	StopPoint:OCETrain TER-87276006	1		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	11:12:00	11:14:00	StopPoint:OCETrain TER-87276329	2		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	11:26:00	11:28:00	StopPoint:OCETrain TER-87276691	3		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	11:40:00	11:41:00	StopPoint:OCETrain TER-87276782	4		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	11:51:00	11:52:00	StopPoint:OCETrain TER-87296616	5		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	11:58:00	12:00:00	StopPoint:OCETrain TER-87296442	6		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	12:12:00	12:14:00	StopPoint:OCETrain TER-87296004	7		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	12:44:00	12:46:00	StopPoint:OCETrain TER-87295600	8		0	0		2024-03-08
OCESN16453F3093792:2024-03-08T00:25:49Z	12:56:00	12:56:00	StopPoint:OCETrain TER-87295006	9		1	0		2024-03-08
OCESN16454F1279817:2024-03-08T00:25:49Z	09:11:00	09:11:00	StopPoint:OCETrain TER-87276006	0		0	1		2024-03-08
OCESN16454F1279817:2024-03-08T00:25:49Z	09:41:00	09:41:00	StopPoint:OCETrain TER-87271007	1		1	0		2024-03-08
OCESN16454F2481091:2024-03-08T00:25:49Z	07:42:00	07:42:00	StopPoint:OCETrain TER-87295006	0		0	1		2024-03-08
OCESN16454F2481091:2024-03-08T00:25:49Z	07:52:00	07:54:00	StopPoint:OCETrain TER-87295600	1		0	0		2024-03-08
OCESN16454F2481091:2024-03-08T00:25:49Z	08:23:00	08:25:00	StopPoint:OCETrain TER-87296004	2		0	0		2024-03-08
OCESN16454F2481091:2024-03-08T00:25:49Z	09:00:00	09:02:00	StopPoint:OCETrain TER-87276691	3		0	0		2024-03-08
OCESN16454F2481091:2024-03-08T00:25:49Z	10:12:00	10:12:00	StopPoint:OCETrain TER-87271007	4		1	0		2024-03-08
OCESN16454F2910259:2024-03-08T00:25:49Z	08:35:00	08:35:00	StopPoint:OCETrain TER-87296442	0		0	1		2024-03-08
